BO_PKG_NAME,TP UNV NAME,CUID
BO_E_BULK_CM_R24B_b137.zip,TP Ericsson BULK CM RBS Radio,AcAfY4GkcEBGg0_NH2II8E8
BO_E_CCDM_R4A_b10.zip,TP ERICSSON CCDM PM,Ad3BoAd5hHhJgE5nnbCoqLo
BO_E_CCES_R1C_b3.zip,TP ERICSSON CCES PM,ARXE2CqREu5EvJXHKd1lfDM
BO_E_CCPC_R1A_b1.zip,TP Ericsson CCPC PM,AZOzH9IwHrhOhdfN60tM6Fk
BO_E_CCRC_R5A_b7.zip,TP Ericsson CCRC PM,ATVt55Qla1xJhU4eCHhoYQY
BO_E_CCSM_R3B_b7.zip,TP Ericsson CCSM TechPack PM,AfKvwKtYoctJkGwE3WkRSPI
BO_E_CMN_STS_R11A_b29.zip,TP Ericsson Common AXE PM,Aa5IQVA5ORZIkpozrMQR1Y4
BO_E_CMN_STS_PC_R2A_b30.zip,TP Ericsson Common STS PC PM,AarAHTOz0pZBmBYEOODouh4
BO_E_CNAXE_R39A_b142.zip,TP Core Network AXE PM Standard,Aaxls2OnJbZMjEQQE_zsnjk
BO_E_CNAXE_R39A_b142.zip,TP Core Network AXE PM Extended,AU44WmCttthBjqIUP4oAoOs
BO_E_CPG_R10A_b21.zip,TP Ericsson Redback CPG PM,AdDLoGghIYhNun4S9Kv_N1w
BO_E_CPP_R38A_b281.zip,TP Ericsson CPP PM Standard,AR2d2ZSr1oBMjo0Bo5YgF_o
BO_E_CPP_R38A_b281.zip,TP Ericsson CPP PM Extended,AT.QufYt0ZlPqCp7QQipC2U
BO_E_CS_R4E_b183.zip,TP Ericsson Charging Systems PM CS,AZJ4NZm8hgJBgycgV9LMwa8
BO_E_CSCF_R16A_b45.zip,TP Ericsson CSCF PM,AeWAU_fHI.1BnbugA7DT4Iw
BO_E_CUDB_R29A_b111.zip,TP Ericsson CUDB PM,Ac8fYOw_ft9Mp8Xwu8z.EhM
BO_E_DSC_R16A_b42.zip,TP Ericsson DSC PM,AQ9xNJUnBpFCs7tOdREry14
BO_E_EBSG_R7A_b11.zip,TP EBS Gran technology package PM,AbRPbIRq_XRCnODuaMxpgBg
BO_E_EBSS_R6A_b16.zip,TP EBS SGSN technology package PM,AZKdrwnssshBobLmkB2yt1Y
BO_E_EBSW_R4A_b8.zip,TP EBS Wran technology package PM,AWYIKYS_4h9Cu9y4zrVAw8k
BO_E_ERBS_R40A_b255.zip,TP Ericsson ERBS PM,AZgR_nWGOQRJivvEOgK_o_8
BO_E_ERBSG2_R2A_b22.zip,TP Ericsson ERBSG2 PM,Aeshb4hnH9hBmfBWGYlZ0tQ
BO_E_EPDG_R3A_b28.zip,TP Ericsson EPDG PM,AWHEn04KBHpKgKxRTGNJFnw
BO_E_FFAXW_R16A_b33.zip,TP ERICSSON FFAXW PM,AXG6DjfNC0xAnnTNFmUxGtY
BO_E_FFAX_R14A_b33.zip,TP Ericsson FFAX PM,AXXpoRpsF8FIivd89OzGYzQ
BO_E_GGSN_R34A_b234.zip,TP Ericsson GGSN PM,AUKqq4qahNdCkPeQS37RyVQ
BO_E_HSS_R28B_b980.zip,TP Ericsson HSS PM,ATFYLL5ew8ZJmZ5bUgYdurM
BO_E_IMSGW_MGC_R5A_b45.zip,TP Ericsson IMSGW MGC PM,ATM6GXKklWxFouQUgh6FYhA
BO_E_IMSGW_MGW_R2A_b50.zip,TP Ericsson IMSGW MGW V3 PM,AalnnjxSbQJOk8oQ0aLAhmk
BO_E_IMSGW_SBG_R23A_b279.zip,TP Ericsson IMSGW SBG PM,ATxEJEpxFZJKgmdZjJuKyk8
BO_E_IMS_IPW_R22A_b254.zip,TP Ericsson IMS IPWorks PM,AZYYJtm3s_NOgJwl48MLQqs
BO_E_IMS_R14A_b230.zip,TP Ericsson IMS PM,ASxb7UggSvFJjxP3N.QGpws
BO_E_IPPROBE_R3A_b25.zip,TP Ericsson IPPROBE PM,AT4uDa7X2bRGh59iKEoAgbw
BO_E_IPRAN_R8B_b31.zip,TP Ericsson IPRAN PM,ARv2WO0ysBtGi0hwkViKahY
BO_E_IPTRANSPORT_R14C_b79.zip,TP Ericsson IPTRANSPORT PM,Af.eLGoN9qpMjkR9kAOyLlM
BO_E_LLE_R19A_b56.zip,TP Ericsson LTE RAN Load Expert PM,AWIILj6jOEpCp0VV0ucREbw
BO_E_MGW_R37A_b133.zip,TP Ericsson MGW PM Standard,AWKvYCrNEeNNmEi4zuzhWgc
BO_E_MGW_R37A_b133.zip,TP Ericsson MGW PM Extended,AYlcSdmkrd5GsjN47yB422c
BO_E_MRSUTIL_R2A_b36.zip,TP MRS UTIL PM,AS3fCagfyKVDsT5hz_fIESA
BO_E_MRS_R14D_b53.zip,TP Ericsson MRS PM,AUWFoZXGKlFGlgzyM5LoZq4
BO_E_MTAS_R23A_b274.zip,TP Ericsson MTAS PM,Ac1G8uHlNzRCnulqyX.vptQ
BO_E_OCC_R3B_b23.zip,TP Ericsson OCC PM,AZeR__2uvyNAioT3CNlwW.Q
BO_E_NETOP_R2A_b2.zip,TP Ericsson GSM Optimization TechPack PM,ARMHsJiGj9ZGoG6rym.dVko
BO_E_NRFAGENT_R3A_b6.zip,TP ERICSSON NRFAGENT PM,AXosjpd.0fZAizZyICQwOmg
BO_E_NR_R9A_b27.zip,TP Ericsson NR PM,AQWlgP07gRFLkn0BJTOX92A
BO_E_NSDS_R1A_b1.zip,TP Ericsson vNSDS PM,ASv8cyFW71FMq__g6goi.gw
BO_E_PCC_R3A_b6.zip,TP Ericsson PCC PM,AQDZo6s28pVCoCX9AvAUXcY
BO_E_PCG_R1A_b1.zip,TP ERICSSON PCG PM,AZWZPk_.y3VFpYyjc8NEO3w
BO_E_PRBS_CPP_R12A_b46.zip,TP Ericsson PRBS CPP PM,AcwThZcMT8RHpsBzLkAZ9nI
BO_E_PRBS_ERBS_R14A_b49.zip,TP Ericsson PRBS ERBS PM,ActawzoV.bhOtjCs6ZYzoJY
BO_E_PRBS_RBS_R9A_b28.zip,TP Ericsson PRBS RBS PM,AVFZPYwD4a1LmGNH6HX1U4I
BO_E_RAN_R36A_b286.zip,TP Ericsson RNC PM,AaoxFbkEKw1AsFhdHemfeEU
BO_E_RBSG2_R1B_b9.zip,TP Ericsson RBSG2 PM,ARVHV2rhTRNMjEMbd9Icl8U
BO_E_RBS_R43A_b320.zip,TP Ericsson RBS PM,AdjVhzS2d05Asme79OHAnvM
BO_E_REDB_R11A_b38.zip,TP Ericsson Redback PM,AW2ul965ylxMs5Ql2CGJAdI
BO_E_SAPC_R28A_b70.zip,TP Ericsson SAPC PM,AQuhcufa_6lGjQHlrpySBio
